departamento;distrito;locality;especie;Latitude;Longitude;ano;mes;dia;cantidad
San Pedro;Guayaybi;;Sabethes (Sabethinus) intermedius;-24.407.834;-56.348.054;2008;;;
San Pedro;Guayaybi;;Sabethes (Sabethes) quasicyaneus;-24.407.834;-56.348.054;2008;;;
Alto Paraná;Hernandarias;;Psorophora (Janthinosoma) ferox;-25.315.068;-54.777.893;2009;;;
Alto Paraná;Hernandarias;;Sabethes (Sabethes) belisarioi;-25.315.068;-54.777.893;2008;;;
Alto Paraná;Hernandarias;;Sabethes (Sabethoides) glaucodaemon;-25.315.068;-54.777.893;2009;;;
Alto Paraná;Hernandarias;;Sabethes (Sabethoides) glaucodaemon;-25.315.068;-54.777.893;2009;;;
Central;Itá;;Ochlerotatus (Chrysoconops) fulvus;-25.529.731;-57.374.396;2010;;;
Alto Paraná;Juan León Mallorquin;;Sabethes (Sabethes) belisarioi;-2.548.374;-5.525.454;2008;;;
Alto Paraná;Juan León Mallorquin;;Sabethes (Sabethoides) chloropterus;-2.548.374;-5.525.454;2008;;;
Alto Paraná;Juan León Mallorquin;;Sabethes (Sabethoides) glaucodaemon;-2.548.374;-5.525.454;2008;;;
San Pedro;Lima;;Sabethes (Sabethes) amazonicus;-23.978.347;-5.656.932;2008;;;
San Pedro;Lima;;Sabethes (Sabethinus) intermedius;-23.978.347;-5.656.932;2008;;;
San Pedro;Lima;;Sabethes (Sabethinus) intermedius;-23.978.347;-5.656.932;2008;;;
San Pedro;Lima;;Sabethes (Sabethinus) intermedius;-23.978.347;-5.656.932;2008;;;
San Pedro;Lima;;Sabethes (Sabethinus) intermedius;-23.978.347;-5.656.932;2008;;;
San Pedro;Lima;;Sabethes (Sabethinus) intermedius;-23.978.347;-5.656.932;2008;;;
San Pedro;Lima;;Sabethes (Sabethes) purpureus;-23.978.347;-5.656.932;2008;;;
San Pedro;Lima;;Sabethes (Sabethes) purpureus;-23.978.347;-5.656.932;2008;;;
Alto Paraná;Mbaracayú;;Psorophora (Janthinosoma) ferox;-2.501.529;-5.468.901;2009;;;
Alto Paraná;Mbaracayú;;Psorophora (Janthinosoma) ferox;-2.501.529;-5.468.901;2009;;;
Alto Paraná;Mbaracayú;;Sabethes (Sabethes) albiprivus;-2.501.529;-5.468.901;2008;;;
Alto Paraná;Mbaracayú;;Sabethes (Sabethes) albiprivus;-2.501.529;-5.468.901;2009;;;
Alto Paraná;Mbaracayú;;Sabethes (Sabethes) albiprivus;-2.501.529;-5.468.901;2011;;;
