departamento;distrito;locality;especie;Latitude;Longitude;ano;mes;dia;cantidad
Paraguarí;Paraguarí;San Francisco;Psorophora (Janthinosoma) ferox;-25.625.324;-57.141.165;2021;12;15;1H
Paraguarí;Paraguarí;San Francisco;Haemagogus (Haemagogus) celeste;-25.625.324;-57.141.165;2021;12;16;1H
Paraguarí;Paraguarí;San Francisco;Psorophora (Janthinosoma) ferox;-25.625.324;-57.141.165;2021;12;16;22H
Paraguarí;Paraguarí;San Francisco;Sabethes (Sabethes) albiprivus;-25.625.324;-57.141.165;2021;12;16;6H
Concepción;Concepción;San Jorge;Haemagogus (Haemagogus) celeste;-23.411.901;-57.417.341;2020;3;12;6H
Concepción;Concepción;San Jorge;Psorophora (Janthinosoma) ferox;-23.411.901;-57.417.341;2020;3;12;6H
Concepción;Concepción;San Jorge;Ochlerotatus (Chrysoconops) fulvus;-23.411.901;-57.417.341;2020;3;12;6H
Concepción;Concepción;San Jorge;Psorophora (Janthinosoma) ferox;-23.411.901;-57.417.341;2021;10;14;3H
Misiones;Ayolas;San José;Sabethes (Sabethoides) chloropterus;-27.405.264;-56.858.587;2018;;;
Misiones;Ayolas;San José;Wyeomyia (Triamyia) aporonoma;-27.405.264;-56.858.587;2018;;;
San Pedro;Capiibary;San José;Psorophora (Janthinosoma) ferox;-24.726.369;-56.021.766;2008;;;
San Pedro;Capiibary;San José;Sabethes (Sabethes) amazonicus;-24.726.369;-56.021.766;2008;;;
San Pedro;Capiibary;San José;Sabethes (Sabethinus) intermedius;-24.726.369;-56.021.766;2008;;;
Cordillera;Eusebio Ayala;San Rafael;Haemagogus (Conopostegus) leucocelaenus;-253.856.705;-569.669.036;2017;2;22;1H
Cordillera;Eusebio Ayala;San Rafael;Sabethes (Sabethes) albiprivus;-253.856.705;-569.669.036;2017;2;22;17H
Cordillera;Eusebio Ayala;San Rafael;Sabethes (Sabethoides) glaucodaemon;-253.856.705;-569.669.036;2017;2;22;3H
Cordillera;Eusebio Ayala;San Rafael;Sabethes (Sabethes) quasicyaneus;-253.856.705;-569.669.036;2017;2;22;5H
Cordillera;Eusebio Ayala;San Rafael;Psorophora (Janthinosoma) ferox;-253.856.705;-569.669.036;2017;2;22;8H
Cordillera;Eusebio Ayala;San Rafael;Haemagogus (Conopostegus) leucocelaenus;-253.856.705;-569.669.036;2017;2;23;7H
Cordillera;Eusebio Ayala;San Rafael;Sabethes (Sabethes) albiprivus;-253.856.705;-569.669.036;2017;2;23;16H
Cordillera;Eusebio Ayala;San Rafael;Sabethes (Sabethoides) glaucodaemon;-253.856.705;-569.669.036;2017;2;23;3H
Cordillera;Eusebio Ayala;San Rafael;Sabethes (Sabethoides) chloropterus;-253.856.705;-569.669.036;2017;2;23;5H
Cordillera;Eusebio Ayala;San Rafael;Psorophora (Janthinosoma) ferox;-253.856.705;-569.669.036;2017;2;23;12H
Cordillera;Eusebio Ayala;San Rafael;Sabethes (Sabethes) quasicyaneus;-253.856.705;-569.669.036;2018;;;
Cordillera;Eusebio Ayala;San Rafael;Psorophora (Janthinosoma) ferox;-253.856.705;-569.669.036;2018;;;
Cordillera;Eusebio Ayala;San Rafael;Sabethes (Sabethes) quasicyaneus;-253.856.705;-569.669.036;2018;;;
Cordillera;Eusebio Ayala;San Rafael;Sabethes (Sabethoides) chloropterus;-253.856.705;-569.669.036;2018;;;
Cordillera;Eusebio Ayala;San Rafael;Psorophora (Janthinosoma) ferox;-253.856.705;-569.669.036;2018;;;
Cordillera;Eusebio Ayala;San Rafael;Sabethes (Sabethes) albiprivus;-253.856.705;-569.669.036;2018;;;
Cordillera;Eusebio Ayala;San Rafael;Haemagogus (Haemagogus) celeste;-253.856.705;-569.669.036;2018;11;5;
Cordillera;Eusebio Ayala;San Rafael;Sabethes (Sabethes) quasicyaneus;-253.856.705;-569.669.036;2018;11;5;
Cordillera;Eusebio Ayala;San Rafael;Sabethes (Sabethoides) glaucodaemon;-253.856.705;-569.669.036;2018;11;5;
Cordillera;Eusebio Ayala;San Rafael;Ochlerotatus (Chrysoconops) fulvus;-253.856.705;-569.669.036;2019;4;22;
Cordillera;Eusebio Ayala;San Rafael;Psorophora (Janthinosoma) ferox;-253.856.705;-569.669.036;2019;4;24;1H
Cordillera;Eusebio Ayala;San Rafael;Ochlerotatus (Ochlerotatus) scapularis;-253.856.705;-569.669.036;2019;7;15;
Cordillera;Eusebio Ayala;San Rafael;Ochlerotatus (Ochlerotatus) scapularis;-253.856.705;-569.669.036;2019;7;16;
Cordillera;Eusebio Ayala;San Rafael;Ochlerotatus fluviatilis;-253.856.705;-569.669.036;2019;10;1;1H
Ñeembucú;Pilar;San Vicente;Ochlerotatus (Ochlerotatus) scapularis;-26.847.800;-58.297.900;2020;8;26;2H
Ñeembucú;Pilar;San Vicente;Ochlerotatus (Ochlerotatus) scapularis;-26.847.800;-58.297.900;2020;8;27;
Ñeembucú;Pilar;San Vicente;Ochlerotatus (Ochlerotatus) scapularis;-26.847.800;-58.297.900;2020;8;28;
Ñeembucú;Pilar;San Vicente;Ochlerotatus (Complejo)serratus;-26.847.800;-58.297.900;2020;8;28;
Ñeembucú;Pilar;San Vicente;Ochlerotatus (Ochlerotatus) scapularis;-26.847.800;-58.297.900;2020;8;29;38H
Ñeembucú;Pilar;San Vicente;Ochlerotatus (Complejo)serratus;-26.847.800;-58.297.900;2019;11;14;7H
Ñeembucú;Pilar;San Vicente;Psorophora (Janthinosoma) albigenu;-26.847.800;-58.297.900;2019;11;14;5H
Ñeembucú;Pilar;San Vicente;Psorophora (Janthinosoma) ferox;-26.847.800;-58.297.900;2019;11;14;58H
Ñeembucú;Pilar;San Vicente;Haemagogus (Haemagogus) celeste;-26.847.800;-58.297.900;2019;11;14;4H
Ñeembucú;Pilar;San Vicente;Psorophora (Janthinosoma) ferox;-26.847.800;-58.297.900;2020;12;3;3H
Ñeembucú;Pilar;San Vicente;Psorophora (Janthinosoma) ferox;-26.847.800;-58.297.900;2020;10;9;1H
Ñeembucú;Pilar;San Vicente;Haemagogus (Haemagogus) celeste;-26.847.800;-58.297.900;2021;11;3;1H
Ñeembucú;Pilar;San Vicente;Psorophora (Janthinosoma) ferox;-26.847.800;-58.297.900;2021;11;3;1H
Ñeembucú;Pilar;San Vicente;Haemagogus (Haemagogus) celeste;-26.847.800;-58.297.900;2021;9;11;1H
Ñeembucú;Pilar;San Vicente;Haemagogus (Haemagogus) celeste;-26.847.800;-58.297.900;2021;11;11;1H
Ñeembucú;Pilar;San Vicente;Psorophora (Janthinosoma) ferox;-26.847.800;-58.297.900;2021;11;11;7H
Caaguazú;Raúl Arsenio Oviedo;santa teresa;Psorophora (Janthinosoma) ferox;-250.968.412.099.539;-5.558.056.244;2022;5;26;2H
Caaguazú;Raúl Arsenio Oviedo;santa teresa;Ochlerotatus (Complejo)serratus;-2.508.008.865;-5.561.169.845;2022;8;2;
Caaguazú;Raúl Arsenio Oviedo;santa teresa;Sabethes (Sabethes) albiprivus;-2.509.684.121;-5.558.056.244;2022;11;17;2H
Caaguazú;Raúl Arsenio Oviedo;santa teresa;Psorophora (Janthinosoma) ferox;-2.509.684.121;-5.558.056.244;2022;11;17;17H
San Pedro;Guayaybi;Santo Domingo;Psorophora (Janthinosoma) ferox;-24.507.876;-56.424.227;2008;;;
San Pedro;Guayaybi;Santo Domingo;Sabethes (Sabethoides) chloropterus;-24.507.876;-56.424.227;2008;;;
San Pedro;Guayaybi;Santo Domingo;Sabethes (Sabethinus) intermedius;-24.507.876;-56.424.227;2008;;;
San Pedro;Guayaybi;Santo Domingo;Sabethes (Sabethes) quasicyaneus;-24.507.876;-56.424.227;2008;;;
San Pedro;Puerto Antequera;Santo Domingo;Ochlerotatus (Ochlerotatus) scapularis;-24.090.193;-57.205.866;2019;10;14;
San Pedro;Puerto Antequera;Santo Domingo;Ochlerotatus (Ochlerotatus) scapularis;-24.090.193;-57.205.866;2019;10;15;
San Pedro;Puerto Antequera;Santo Domingo;Ochlerotatus (Ochlerotatus) scapularis;-24.090.193;-57.205.866;2019;10;15;
Caaguazú;Mariscal López;Santa Juana;Sabethes (Sabethes) purpureus;-25.179.663;-55.180.227;2008;;;
Caaguazú;Mariscal López;Santa Juana;Sabethes (Sabethinus) intermedius;-25.179.663;-55.180.227;2008;;;
Paraguarí;Tebicuarymí;Tebicuarymí;Psorophora (Janthinosoma) ferox;-25.920.657;-56.665.495;2022;6;20;8H
Paraguarí;Tebicuarymí;Tebicuarymí;Ochlerotatus (Complejo)serratus;-25.920.657;-56.665.495;2022;6;21;3H
Paraguarí;Tebicuarymí;Tebicuarymí;Psorophora (Janthinosoma) ferox;-25.920.657;-56.665.495;2022;6;21;5H
Paraguarí;Tebicuarymí;Tebicuarymí;Psorophora (Janthinosoma) ferox;-25.920.657;-56.665.495;2022;6;21;5H
Paraguarí;Tebicuarymí;Tebicuarymí;Psorophora (Janthinosoma) ferox;-25.913.823;-56.697.615;2022;6;22;3H
Paraguarí;Tebicuarymí;Tebicuarymí;Sabethes (Sabethes) albiprivus;-25.916.556;-5.669.901;2022;6;23;3H
Paraguarí;Tebicuarymí;Tebicuarymí;Ochlerotatus (Chrysoconops) fulvus;-25.916.556;-5.669.901;2022;6;23;1H
Paraguarí;Tebicuarymí;Tebicuarymí;Ochlerotatus (Complejo)serratus;-25.916.556;-5.669.901;2022;6;23;5H
Paraguarí;Tebicuarymí;Tebicuarymí;Psorophora (Janthinosoma) ferox;-25.916.556;-5.669.901;2022;6;23;17H
Paraguarí;Tebicuarymí;Tebicuarymí;Sabethes (Sabethinus) intermedius;-25.920.657;-56.665.495;2022;7;9;1H
Paraguarí;Tebicuarymí;Tebicuarymí;Sabethes (Sabethinus) intermedius;-25.916.556;-5.669.901;2022;8;9;3H
Paraguarí;Tebicuarymí;Tebicuarymí;Sabethes (Sabethoides) glaucodaemon;-25.916.556;-5.669.901;2022;8;9;17H
Paraguarí;Tebicuarymí;Tebicuarymí;Sabethes (Sabethes) albiprivus;-25.916.556;-5.669.901;2022;8;9;5H
Paraguarí;Tebicuarymí;Tebicuarymí;Psorophora (Janthinosoma) ferox;-25.916.556;-5.669.901;2022;8;9;5H
Cordillera;Eusebio Ayala;Teju vy;Psorophora (Janthinosoma) ferox;-25.361.090;-56.971.350;2015;;;
Cordillera;Eusebio Ayala;Teju vy;Sabethes (Sabethes) albiprivus;-25.361.090;-56.971.350;2015;;;
Alto Paraná;Ñacunday;Toro Cuá;Sabethes (Sabethes) belisarioi;-26.092.379;-54.679.872;2009;;;
Alto Paraná;Ñacunday;Toro Cuá;Sabethes (Sabethoides) chloropterus;-26.092.379;-54.679.872;2009;;;
Alto Paraná;Ñacunday;Toro Cuá;Sabethes (Sabethoides) glaucodaemon;-26.092.379;-54.679.872;2009;;;
Alto Paraná;Hernandarias;Tory Vete;Psorophora (Janthinosoma) ferox;-25.333.466;-5.492.669;2008;;;
Alto Paraná;Hernandarias;Tory Vete;Sabethes (Sabethoides) glaucodaemon;-25.333.466;-5.492.669;2008;;;
Alto Paraná;Minga Porá;San Lorenzo/Troncal 3;Psorophora (Janthinosoma) ferox;-2.471.515;-5.487.573;2011;;;
Alto Paraná;Minga Porá;San Lorenzo/Troncal 3;Sabethes (Sabethes) belisarioi;-2.471.515;-5.487.573;2011;;;
Alto Paraná;Minga Porá;San Lorenzo/Troncal 3;Ochlerotatus (Chrysoconops) fulvus;-2.471.515;-5.487.573;2011;;;
Alto Paraná;Minga Porá;San Lorenzo/Troncal 3;Sabethes (Sabethes) belisarioi;-2.471.515;-5.487.573;2011;;;
Alto Paraná;Minga Porá;San Lorenzo/Troncal 3;Ochlerotatus (Chrysoconops) fulvus;-2.471.515;-5.487.573;2011;;;
Central;Ypané;Virgen del Pilar;Psorophora (Janthinosoma) ferox;-25.460.154;-57.510.945;2008;;;
San Pedro;Yrybucuá;Vya Rendá;Sabethes (Sabethinus) intermedius;-24.492.152;-56.219.254;2008;;;
San Pedro;Yrybucuá;Vya Rendá;Sabethes (Sabethes) purpureus;-24.492.152;-56.219.254;2008;;;
San Pedro;Yrybucuá;Vya Rendá;Sabethes (Sabethes) quasicyaneus;-24.492.152;-56.219.254;2008;;;
San Pedro;Yrybucuá;Vya Rendá;Sabethes (Sabethes) purpureus;-24.492.152;-56.219.254;2008;;;
San Pedro;Yrybucuá;Vya Rendá;Sabethes (Sabethoides) glaucodaemon;-24.492.152;-56.219.254;2008;;;
San Pedro;San Pedro de Ycuamandyyú;Yacaré Ñeé;Sabethes (Sabethes) bipartipes;-2.401.242;-5.693.372;2008;;;
San Pedro;San Pedro de Ycuamandyyú;Yacaré Ñeé;Sabethes (Sabethoides) chloropterus;-2.401.242;-5.693.372;2008;;;
San Pedro;San Pedro de Ycuamandyyú;Yacaré Ñeé;Sabethes (Sabethinus) intermedius;-2.401.242;-5.693.372;2008;;;
Caaguazú;San José de los Arroyos;Yhaca;Psorophora (Janthinosoma) ferox;-25.646.865;-56.698.477;2008;;;
Caaguazú;San José de los Arroyos;Yhaca;Sabethes (Sabethoides) glaucodaemon;-25.646.865;-56.698.477;2008;;;
San Pedro;Yrybucuá;Yrybucuá;Sabethes (Sabethoides) glaucodaemon;-24.469.801;-56.090.867;2022;4;26;3H
San Pedro;Yrybucuá;Yrybucuá;Psorophora (Janthinosoma) ferox;-24.469.801;-56.090.867;2022;4;26;2H
San Pedro;Yrybucuá;Yrybucuá;Psorophora (Janthinosoma) ferox;-24.469.801;-56.090.867;2022;4;26;2H
San Pedro;Yrybucuá;Yrybucuá;Ochlerotatus (Chrysoconops) fulvus;-24.469.801;-56.090.867;2022;4;26;1H
San Pedro;Yrybucuá;Yrybucuá;Sabethes (Sabethoides) glaucodaemon;-2.447.415;-56.087.745;2022;4;28;26H
San Pedro;Yrybucuá;Yrybucuá;Psorophora (Janthinosoma) ferox;-2.447.415;-56.087.745;2022;4;28;16H
San Pedro;Yrybucuá;Yrybucuá;Sabethes (Sabethoides) glaucodaemon;-24.470.961;-56.090.181;2022;11;29;5H
San Pedro;Yrybucuá;Yrybucuá;Ochlerotatus () (complejo)serratus;-24.470.961;-56.090.181;2022;11;30;3H
San Pedro;Yrybucuá;Yrybucuá;Sabethes (Sabethoides) glaucodaemon;-24.470.961;-56.090.181;2022;1;12;16H
San Pedro;Yrybucuá;Yrybucuá;Sabethes (Sabethinus) intermedius;-24.470.961;-56.090.181;2022;1;12;7H
San Pedro;Yrybucuá;Yrybucuá;Sabethes (Sabethes) albiprivus;-24.470.961;-56.090.181;2022;1;12;5H
San Pedro;Yrybucuá;Yrybucuá;Psorophora (Janthinosoma) ferox;-24.470.961;-56.090.181;2022;1;12;8H
San Pedro;Yrybucuá;Yrybucuá;Ochlerotatus () (complejo)serratus;-24.470.961;-56.090.181;2022;1;12;14H
San Pedro;Yrybucuá;Yrybucuá;Sabethes (Sabethes) albiprivus;-2.447.415;-56.087.745;2022;7;21;2H
San Pedro;Yrybucuá;Yrybucuá;Sabethes (Sabethoides) glaucodaemon;-2.447.415;-56.087.745;2022;7;21;5H
San Pedro;Yrybucuá;Yrybucuá;Ochlerotatus () (complejo)serratus;-2.447.415;-56.087.745;2022;7;21;3H
Central;Luque;Zárate Isla;Haemagogus (Haemagogus) spegazzinii;-2.523.803.412;-5.749.537.243;2018;;;
Central;Luque;Zárate Isla;Sabethes (Sabethoides) chloropterus;-2.523.803.412;-5.749.537.243;2018;;;
Central;Luque;Zárate Isla;Psorophora (Janthinosoma) ferox;-2.523.803.412;-5.749.537.243;2018;;;
Central;Luque;Zárate Isla;Ochlerotatus (Chrysoconops) fulvus;-2.523.803.412;-5.749.537.243;2018;;;
Central;Luque;Zárate Isla;Psorophora (Janthinosoma) ferox;-2.523.803.412;-5.749.537.243;2018;;;
Central;Luque;Zárate Isla;Psorophora (Janthinosoma) ferox;-2.523.803.412;-5.749.537.243;2018;;;
Central;Luque;Zárate Isla;Psorophora (Janthinosoma) ferox;-2.523.803.412;-5.749.537.243;2018;;;
Central;Luque;Zárate Isla;Ochlerotatus (Chrysoconops) fulvus;-2.523.803.412;-5.749.537.243;2018;;;
Central;Luque;Zárate Isla;Psorophora (Janthinosoma) ferox;-2.523.803.412;-5.749.537.243;2019;;;14H
Central;Luque;Zárate Isla;Psorophora (Janthinosoma) ferox;-2.523.803.412;-5.749.537.243;2019;;;26H
Alto Paraná;Ñacunday;Agrotoro;Sabethes (Sabethes) belisarioi;-2.610.876;-5.476.164;2008;;;
Cordillera;Eusebio Ayala;;Psorophora (Janthinosoma) ferox;-25.361.090;-56.971.350;2015;;;
Cordillera;Eusebio Ayala;;Sabethes (Sabethes) albiprivus;-25.361.090;-56.971.350;2015;;;
Itapúa;Bella Vista;;Sabethes (Sabethinus) intermedius;-2.699.507;-5.554.541;2009;;;
Itapúa;Bella Vista;;Sabethes (Sabethinus) intermedius;-2.699.507;-5.554.541;2009;;;
Itapúa;Bella Vista;;Sabethes (Sabethinus) intermedius;-2.699.507;-5.554.541;2009;;;
Itapúa;Bella Vista;;Sabethes (Sabethinus) intermedius;-2.699.507;-5.554.541;2009;;;
Itapúa;Bella Vista;;Sabethes (Sabethinus) intermedius;-2.699.507;-5.554.541;2009;;;
Cordillera;Caacupé;;Sabethes (Sabethoides) chloropterus;-2.538.041;-5.712.672;2009;;;
Caaguazú;Caaguazú;;Psorophora (Janthinosoma) ferox;-25.419.111;-56.051.726;2009;;;
Caaguazú;Caaguazú;;Psorophora (Janthinosoma) ferox;-25.419.111;-56.051.726;2009;;;
Caaguazú;Caaguazú;;Sabethes (Sabethes) bipartipes;-25.419.111;-56.051.726;2008;;;
Caaguazú;Caaguazú;;Sabethes (Sabethoides) chloropterus;-25.419.111;-56.051.726;2008;;;
Caaguazú;Caaguazú;;Sabethes (Sabethoides) chloropterus;-25.419.111;-56.051.726;2008;;;
Caaguazú;Caaguazú;;Sabethes (Sabethoides) chloropterus;-25.419.111;-56.051.726;2008;;;
Caaguazú;Caaguazú;;Sabethes (Sabethinus) intermedius;-25.419.111;-56.051.726;2008;;;
San Pedro;Capiibary;;Sabethes (Sabethes) amazonicus;-24.745.844;-5.599.161;2008;;;
San Pedro;Capiibary;;Sabethes (Sabethinus) intermedius;-24.745.844;-5.599.161;2008;;;
Alto Paraguay;Carmelo Peralta;;Ochlerotatus (Ochlerotatus) scapularis;-21.685.925;-57.897.644;2020;7;8;1H
Alto Paraguay;Carmelo Peralta;;Ochlerotatus (Ochlerotatus) scapularis;-21.685.925;-57.897.644;2020;7;8;
Alto Paraguay;Carmelo Peralta;;Ochlerotatus (Ochlerotatus) scapularis;-21.685.925;-57.897.644;2020;7;9;
Alto Paraguay;Carmelo Peralta;;Ochlerotatus (Ochlerotatus) scapularis;-21.685.925;-57.897.644;2020;7;10;3H
Alto Paraguay;Carmelo Peralta;;Ochlerotatus (Ochlerotatus) scapularis;-21.685.925;-57.897.644;2020;9;11;38H
Alto Paraguay;Carmelo Peralta;;Psorophora (Psorophora) ciliata;-21.685.925;-57.897.644;2019;10;28;
Alto Paraguay;Carmelo Peralta;;Psorophora (Psorophora) ciliata;-21.685.925;-57.897.644;2019;10;30;
Alto Paraguay;Carmelo Peralta;;Ochlerotatus (Ochlerotatus) scapularis;-21.685.925;-57.897.644;2019;10;31;9H
Alto Paraguay;Carmelo Peralta;;Ochlerotatus () (Complejo)serratus;-21.685.925;-57.897.644;2019;10;31;2H
Alto Paraguay;Carmelo Peralta;;Psorophora (Janthinosoma) ferox;-21.685.925;-57.897.644;2021;3;25;12H
Alto Paraguay;Carmelo Peralta;;Ochlerotatus () (Complejo)serratus;-21.685.925;-57.897.644;2021;3;25;5H
Alto Paraguay;Carmelo Peralta;;Haemagogus (Haemagogus) spegazzinii;-216.842;-579.754;2008;;;
San Pedro;Choré;;Psorophora (Janthinosoma) ferox;-24.184.282;-56.632.915;2009;;;
San Pedro;Guayaybi;;Psorophora (Janthinosoma) ferox;-24.407.834;-56.348.054;2009;;;
San Pedro;Guayaybi;;Psorophora (Janthinosoma) ferox;-24.407.834;-56.348.054;2009;;;
San Pedro;Guayaybi;;Psorophora (Janthinosoma) ferox;-24.407.834;-56.348.054;2009;;;
San Pedro;Guayaybi;;Sabethes (Sabethoides) chloropterus;-24.407.834;-56.348.054;2008;;;
San Pedro;Guayaybi;;Sabethes (Sabethoides) chloropterus;-24.407.834;-56.348.054;2008;;;
